Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20557.1001,NA,0.40370000000000,3.36690000000000,0.00000000000000,0.11010000000000,3.2935,20556.6964,0.4037,0.4037,0.0000,0.0147,0.4991,0.4822,0.0169,13.0913,20556.6964,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20573.2544,NA,16.15430000000000,13.20250000000000,0.00000000000000,0.01950000000000,0.3417,20557.1001,16.1543,16.1543,0.0000,0.1101,16.0637,0.3419,15.7218,-12.7988,20557.1001,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20561.1931,NA,16.53100000000000,16.56940000000000,0.38080000000000,0.75600000000000,12.4030,20545.0935,16.4804,16.0996,0.3808,16.2437,0.6119,0.5811,0.0308,0.5279,20545.0935,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20573.6662,NA,0.41180000000000,3.51090000000000,0.00000000000000,0.09970000000000,3.4408,20573.2544,0.4118,0.4118,0.0000,0.0195,0.4920,0.4768,0.0152,12.6434,20573.2544,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20590.0687,NA,16.40250000000000,13.31940000000000,0.00000000000000,0.01210000000000,0.3577,20573.6662,16.4025,16.4025,0.0000,0.0997,16.3149,0.2682,16.0467,-12.9076,20573.6662,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20577.6505,NA,16.45740000000000,16.83030000000000,0.41550000000000,0.72260000000000,12.7759,20561.5739,16.4921,16.0766,0.4155,16.2091,0.5901,0.5828,0.0073,-0.3499,20561.5739,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20590.4289,NA,0.36020000000000,3.29580000000000,0.00000000000000,0.17300000000000,3.2933,20590.0687,0.3602,0.3602,0.0000,0.0121,0.5211,0.5072,0.0139,13.1067,20590.0687,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20606.6956,NA,16.26670000000000,13.34380000000000,0.00000000000000,0.01140000000000,0.3704,20590.4289,16.2667,16.2667,0.0000,0.1730,16.1051,0.2840,15.8211,-12.9836,20590.4289,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20594.2594,NA,16.60890000000000,16.63960000000000,0.34600000000000,0.71300000000000,12.8066,20578.0660,16.5394,16.1934,0.3460,16.3189,0.5875,0.5793,0.0082,-0.1475,20578.0660,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20607.0282,NA,0.33260000000000,3.32970000000000,0.00000000000000,0.18910000000000,3.3675,20606.6956,0.3326,0.3326,0.0000,0.0114,0.5103,0.4961,0.0142,12.9370,20606.6956,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20623.5372,NA,16.50900000000000,13.51560000000000,0.00000000000000,0.01210000000000,0.3741,20607.0282,16.5090,16.5090,0.0000,0.1891,16.3320,0.2950,16.0370,-13.1830,20607.0282,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20611.0346,NA,16.77520000000000,16.84530000000000,0.33620000000000,0.79110000000000,12.8767,20594.6054,16.7654,16.4292,0.3362,16.5620,0.6583,0.6441,0.0142,-0.3059,20594.6054,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20623.9769,NA,0.43970000000000,3.14370000000000,0.00000000000000,0.10700000000000,3.0781,20623.5372,0.4397,0.4397,0.0000,0.0121,0.5346,0.5219,0.0127,13.3653,20623.5372,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20640.2672,NA,16.29030000000000,13.56710000000000,0.00000000000000,0.01180000000000,0.3549,20623.9769,16.2903,16.2903,0.0000,0.1070,16.1951,0.3427,15.8524,-13.1274,20623.9769,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20627.6023,NA,16.56770000000000,16.71080000000000,0.43070000000000,0.71240000000000,13.0198,20611.3708,16.6622,16.2315,0.4307,16.3662,0.5777,0.5708,0.0069,0.0546,20611.3708,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20640.6225,NA,0.35530000000000,3.09520000000000,0.00000000000000,0.13740000000000,3.0948,20640.2672,0.3553,0.3553,0.0000,0.0118,0.4809,0.4699,0.0110,13.1951,20640.2672,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20656.9817,NA,16.35920000000000,13.65610000000000,0.00000000000000,0.01140000000000,0.3917,20640.6225,16.3592,16.3592,0.0000,0.1374,16.2332,0.2716,15.9616,-13.3008,20640.6225,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20644.2873,NA,16.68500000000000,16.75130000000000,0.45260000000000,0.79310000000000,13.0861,20628.0330,16.7069,16.2543,0.4526,16.4334,0.6140,0.6053,0.0087,-0.0891,20628.0330,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20657.3220,NA,0.34030000000000,3.01220000000000,0.00000000000000,0.18660000000000,3.0636,20656.9817,0.3403,0.3403,0.0000,0.0114,0.5155,0.5016,0.0139,13.3470,20656.9817,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20673.6490,NA,16.32700000000000,13.62420000000000,0.00000000000000,0.01140000000000,0.3608,20657.3220,16.3270,16.3270,0.0000,0.1866,16.1518,0.3013,15.8505,-13.2839,20657.3220,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20661.0104,NA,16.72310000000000,16.63640000000000,0.43330000000000,0.76020000000000,12.9994,20644.7399,16.7038,16.2705,0.4333,16.4450,0.5857,0.5782,0.0075,0.0705,20644.7399,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20674.0541,NA,0.40510000000000,3.05140000000000,0.00000000000000,0.10950000000000,3.0071,20673.6490,0.4051,0.4051,0.0000,0.0114,0.5032,0.4880,0.0152,13.2756,20673.6490,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20690.3818,NA,16.32770000000000,13.65650000000000,0.00000000000000,0.01590000000000,0.3359,20674.0541,16.3277,16.3277,0.0000,0.1095,16.2341,0.2530,15.9811,-13.2514,20674.0541,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20678.1502,NA,17.13980000000000,16.70790000000000,0.38510000000000,0.72940000000000,12.5675,20661.4437,17.0916,16.7065,0.3851,16.8529,0.5830,0.5749,0.0081,-0.0041,20661.4437,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20690.7774,NA,0.39560000000000,2.99490000000000,0.00000000000000,0.11220000000000,2.9352,20690.3818,0.3956,0.3956,0.0000,0.0159,0.4919,0.4825,0.0094,13.3328,20690.3818,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20707.0616,NA,16.28420000000000,13.72460000000000,0.00000000000000,0.01220000000000,0.3756,20690.7774,16.2842,16.2842,0.0000,0.1122,16.1842,0.2949,15.8893,-13.3290,20690.7774,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20694.2801,NA,16.12990000000000,16.71950000000000,0.39920000000000,0.70850000000000,13.1571,20678.5353,16.1440,15.7448,0.3992,15.8656,0.5877,0.5816,0.0061,0.3721,20678.5353,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20707.3980,NA,0.33640000000000,2.95190000000000,0.00000000000000,0.16760000000000,2.9911,20707.0616,0.3364,0.3364,0.0000,0.0122,0.4918,0.4808,0.0110,13.3323,20707.0616,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20723.7669,NA,16.36890000000000,13.73950000000000,0.00000000000000,0.01130000000000,0.3617,20707.3980,16.3689,16.3689,0.0000,0.1676,16.2126,0.2579,15.9547,-13.4031,20707.3980,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20711.0644,NA,16.78430000000000,16.69140000000000,0.38240000000000,0.84690000000000,13.0642,20694.6793,16.7675,16.3851,0.3824,16.5321,0.6999,0.6810,0.0189,-0.5474,20694.6793,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20724.0536,NA,0.28670000000000,2.92650000000000,0.00000000000000,0.25900000000000,3.0015,20723.7669,0.2867,0.2867,0.0000,0.0113,0.5344,0.5344,0.0000,13.4424,20723.7669,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20740.5431,NA,16.48950000000000,13.82810000000000,0.00000000000000,0.01160000000000,0.3401,20724.0536,16.4895,16.4895,0.0000,0.2590,16.2421,0.2776,15.9645,-13.5414,20724.0536,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20727.5989,NA,16.53450000000000,16.75460000000000,0.65900000000000,0.74110000000000,13.2843,20711.4468,16.8111,16.1521,0.6590,16.2755,0.6177,0.6118,0.0059,0.0129,20711.4468,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20740.9090,NA,0.36590000000000,2.85350000000000,0.00000000000000,0.11560000000000,2.8277,20740.5431,0.3659,0.3659,0.0000,0.0116,0.4699,0.4571,0.0128,13.6360,20740.5431,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20757.2561,NA,16.34710000000000,13.87750000000000,0.00000000000000,0.01230000000000,0.3581,20740.9090,16.3471,16.3471,0.0000,0.1156,16.2438,0.2466,15.9972,-13.5116,20740.9090,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20744.3123,NA,16.71340000000000,16.73100000000000,0.41720000000000,0.89250000000000,13.3019,20728.2579,16.4716,16.0544,0.4172,16.2254,0.7215,0.7135,0.0080,0.0801,20728.2579,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20757.5758,NA,0.31970000000000,2.77550000000000,0.00000000000000,0.18750000000000,2.8139,20757.2561,0.3197,0.3197,0.0000,0.0123,0.4949,0.4845,0.0104,13.5716,20757.2561,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20773.9879,NA,16.41210000000000,13.93200000000000,0.00000000000000,0.01090000000000,0.3338,20757.5758,16.4121,16.4121,0.0000,0.1875,16.2355,0.3095,15.9260,-13.6123,20757.5758,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20761.0055,NA,16.69320000000000,16.70750000000000,0.40960000000000,0.75540000000000,13.3162,20744.7295,16.6856,16.2760,0.4096,16.4274,0.6040,0.5981,0.0059,-0.2359,20744.7295,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20774.3249,NA,0.33700000000000,2.73660000000000,0.00000000000000,0.16920000000000,2.7334,20773.9879,0.3370,0.3370,0.0000,0.0109,0.4953,0.4781,0.0172,13.6755,20773.9879,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20790.7313,NA,16.40640000000000,14.04800000000000,0.00000000000000,0.01170000000000,0.3750,20774.3249,16.4064,16.4064,0.0000,0.1692,16.2489,0.2680,15.9809,-13.7110,20774.3249,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20777.5907,NA,16.58520000000000,16.78460000000000,0.38920000000000,0.74090000000000,13.5156,20761.4151,16.5648,16.1756,0.3892,16.3108,0.6057,0.6000,0.0057,-0.0990,20761.4151,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20791.1119,NA,0.38060000000000,2.60720000000000,0.00000000000000,0.14430000000000,2.6016,20790.7313,0.3806,0.3806,0.0000,0.0117,0.5132,0.5040,0.0092,13.7992,20790.7313,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20807.4292,NA,16.31730000000000,14.10570000000000,0.00000000000000,0.01220000000000,0.3900,20791.1119,16.3173,16.3173,0.0000,0.1443,16.1852,0.2570,15.9282,-13.7251,20791.1119,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20794.2766,NA,16.68590000000000,16.71290000000000,0.44750000000000,0.73710000000000,13.5426,20777.9799,16.7442,16.2967,0.4475,16.4288,0.6050,0.5981,0.0069,-0.1481,20777.9799,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20807.7713,NA,0.34210000000000,2.57450000000000,0.00000000000000,0.17460000000000,2.6224,20807.4292,0.3421,0.3421,0.0000,0.0122,0.5045,0.4912,0.0133,13.7428,20807.4292,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20824.1854,NA,16.41410000000000,14.13020000000000,0.00000000000000,0.01260000000000,0.3385,20807.7713,16.4141,16.4141,0.0000,0.1746,16.2521,0.2855,15.9666,-13.7881,20807.7713,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20811.0872,NA,16.81060000000000,16.70470000000000,0.34600000000000,0.72920000000000,13.4367,20794.7241,16.7091,16.3631,0.3460,16.4913,0.6010,0.5903,0.0107,0.0395,20794.7241,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20824.5727,NA,0.38730000000000,2.53580000000000,0.00000000000000,0.10740000000000,2.4870,20824.1854,0.3873,0.3873,0.0000,0.0126,0.4821,0.4682,0.0139,13.8783,20824.1854,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20840.8944,NA,16.32170000000000,14.22390000000000,0.00000000000000,0.01100000000000,0.3892,20824.5727,16.3217,16.3217,0.0000,0.1074,16.2253,0.3072,15.9181,-13.8366,20824.5727,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20827.7241,NA,16.63690000000000,16.75970000000000,0.37380000000000,0.73540000000000,13.5595,20811.4332,16.6647,16.2909,0.3738,16.4147,0.6116,0.6029,0.0087,-0.0506,20811.4332,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20841.1962,NA,0.30180000000000,2.44080000000000,0.00000000000000,0.21220000000000,2.5282,20840.8944,0.3018,0.3018,0.0000,0.0110,0.5030,0.4896,0.0134,13.8809,20840.8944,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20857.6559,NA,16.45970000000000,14.27860000000000,0.00000000000000,0.01510000000000,0.3471,20841.1962,16.4597,16.4597,0.0000,0.2122,16.2626,0.2776,15.9850,-13.9768,20841.1962,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20844.3052,NA,16.58110000000000,16.71940000000000,0.32640000000000,0.70290000000000,13.6978,20828.0979,16.5337,16.2073,0.3264,16.3325,0.5777,0.5706,0.0071,-0.0547,20828.0979,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20858.0548,NA,0.39890000000000,2.38040000000000,0.00000000000000,0.09400000000000,2.3286,20857.6559,0.3989,0.3989,0.0000,0.0151,0.4778,0.4640,0.0138,14.0793,20857.6559,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20874.4012,NA,16.34640000000000,14.37820000000000,0.00000000000000,0.01800000000000,0.3604,20858.0548,16.3464,16.3464,0.0000,0.0940,16.2704,0.3419,15.9285,-13.9793,20858.0548,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20860.9441,NA,16.63890000000000,16.75860000000000,0.33540000000000,0.71190000000000,13.8175,20844.6316,16.6479,16.3125,0.3354,16.4424,0.5820,0.5780,0.0040,-0.2249,20844.6316,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20874.7659,NA,0.36470000000000,2.30930000000000,0.00000000000000,0.14180000000000,2.3050,20874.4012,0.3647,0.3647,0.0000,0.0180,0.4885,0.4790,0.0095,14.0371,20874.4012,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20891.1018,NA,16.33590000000000,14.38760000000000,0.00000000000000,0.01100000000000,0.3567,20874.7659,16.3359,16.3359,0.0000,0.1418,16.2051,0.2742,15.9309,-14.0229,20874.7659,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20877.6156,NA,16.67150000000000,16.69690000000000,0.45140000000000,0.88470000000000,13.8429,20861.2795,16.7875,16.3361,0.4514,16.4686,0.7522,0.7465,0.0057,-0.0490,20861.2795,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20891.4252,NA,0.32340000000000,2.25420000000000,0.00000000000000,0.18410000000000,2.2875,20891.1018,0.3234,0.3234,0.0000,0.0110,0.4965,0.4863,0.0102,14.0817,20891.1018,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20907.8557,NA,16.43050000000000,14.49400000000000,0.00000000000000,0.01800000000000,0.3510,20891.4252,16.4305,16.4305,0.0000,0.1841,16.2644,0.2999,15.9645,-14.1706,20891.4252,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20894.2654,NA,16.64980000000000,16.74820000000000,0.38200000000000,0.70620000000000,13.9413,20878.0670,16.5804,16.1984,0.3820,16.3258,0.5788,0.5743,0.0045,0.0393,20878.0670,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20908.3002,NA,0.44450000000000,2.18420000000000,0.00000000000000,0.09680000000000,2.0907,20907.8557,0.4445,0.4445,0.0000,0.0180,0.5233,0.5133,0.0100,14.2463,20907.8557,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20925.1951,NA,16.89490000000000,15.20000000000000,0.00000000000000,0.05490000000000,0.3958,20908.3002,16.8949,16.8949,0.0000,0.0968,16.8530,0.5725,16.2805,-14.7555,20908.3002,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20911.1052,NA,16.83980000000000,17.38420000000000,0.41750000000000,0.75900000000000,14.4857,20894.6474,16.8753,16.4578,0.4175,16.5956,0.6212,0.6085,0.0127,-0.8038,20894.6474,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20925.8455,NA,0.65040000000000,18.14640000000000,0.00000000000000,0.13510000000000,17.8918,20925.1951,0.6504,0.6504,0.0000,0.0549,0.7306,0.5256,0.2050,-1.2515,20925.1951,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20944.4042,NA,33.29900000000000,34.81590000000000,0.44600000000000,0.89160000000000,16.0026,20911.5227,33.3275,32.8815,0.4460,33.0386,0.7345,0.7259,0.0086,-17.9406,20911.5227,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20946.2671,NA,20.42160000000000,16.66950000000000,0.00000000000000,0.13320000000000,14.1397,20925.8455,20.4216,20.4216,0.0000,0.1351,20.4197,0.4952,19.9245,-16.0191,20925.8455,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20960.9923,NA,16.58810000000000,16.67130000000000,0.53080000000000,0.83060000000000,16.0858,20944.8502,16.6729,16.1421,0.5308,16.3343,0.6384,0.6328,0.0056,16.6562,20944.8502,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20962.6513,NA,16.38420000000000,16.67130000000000,0.00000000000000,0.09920000000000,14.4268,20946.2671,16.3842,16.3842,0.0000,0.1332,16.3502,0.5446,15.8056,3.7503,20946.2671,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20979.2070,NA,16.55570000000000,16.66950000000000,0.00000000000000,0.15180000000000,14.5406,20962.6513,16.5557,16.5557,0.0000,0.0992,16.6083,0.5727,16.0356,-0.2853,20962.6513,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20977.6472,NA,16.65490000000000,16.66950000000000,0.42060000000000,0.77540000000000,16.1004,20961.5231,16.5447,16.1241,0.4206,16.2787,0.6208,0.6152,0.0056,0.0034,20961.5231,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,20992.2571,NA,13.05010000000000,16.68950000000000,0.00000000000000,0.24280000000000,18.1800,20979.2070,13.0501,13.0501,0.0000,0.1518,13.1411,0.7459,12.3952,-0.1338,20979.2070,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,20994.4149,NA,16.76770000000000,33.36410000000000,0.34260000000000,0.76770000000000,32.6968,20978.0678,16.6897,16.3471,0.3426,16.4691,0.6457,0.6392,0.0065,-16.8194,20978.0678,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21008.3799,NA,16.12280000000000,16.67460000000000,0.00000000000000,0.30430000000000,18.7318,20992.2571,16.1228,16.1228,0.0000,0.2428,16.1843,0.7240,15.4603,-3.6245,20992.2571,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21011.3324,NA,16.91750000000000,16.64980000000000,0.36420000000000,1.09440000000000,32.4291,20994.7575,16.9391,16.5749,0.3642,16.7062,0.9631,0.9558,0.0073,0.0399,20994.7575,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21026.1105,NA,17.73060000000000,16.64980000000000,0.00000000000000,0.28770000000000,17.6510,21008.3799,17.7306,17.7306,0.0000,0.3043,17.7140,0.7561,16.9579,-0.5270,21008.3799,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21028.5282,NA,17.19580000000000,16.66250000000000,0.37330000000000,0.88510000000000,31.8958,21011.6966,17.2049,16.8316,0.3733,16.9791,0.7376,0.7328,0.0048,0.2766,21011.6966,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21042.2663,NA,16.15580000000000,16.66250000000000,0.00000000000000,0.27720000000000,18.1577,21026.1105,16.1558,16.1558,0.0000,0.2877,16.1453,0.7388,15.4065,1.0681,21026.1105,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21044.4811,NA,15.95290000000000,16.66860000000000,0.39270000000000,0.87110000000000,32.6115,21028.9015,15.9723,15.5796,0.3927,15.7226,0.7281,0.7185,0.0096,0.5363,21028.9015,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21058.6053,NA,16.33900000000000,16.66860000000000,0.00000000000000,0.27530000000000,18.4873,21042.2663,16.3390,16.3390,0.0000,0.2772,16.3371,0.7190,15.6181,-0.5128,21042.2663,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21061.5205,NA,17.03940000000000,16.67560000000000,0.35410000000000,0.72680000000000,32.2477,21044.8738,17.0008,16.6467,0.3541,16.7860,0.5875,0.5791,0.0084,-0.7033,21044.8738,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21075.3471,NA,16.74180000000000,16.67560000000000,0.00000000000000,0.25340000000000,18.4211,21058.6053,16.7418,16.7418,0.0000,0.2753,16.7199,0.7003,16.0196,-0.3366,21058.6053,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21077.6869,NA,16.16640000000000,16.66320000000000,0.56340000000000,0.82490000000000,32.7445,21061.8746,16.3757,15.8123,0.5634,16.0008,0.6364,0.6286,0.0078,0.3376,21061.8746,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21092.0610,NA,16.71390000000000,16.66320000000000,0.00000000000000,0.21460000000000,18.3704,21075.3471,16.7139,16.7139,0.0000,0.2534,16.6751,0.6907,15.9844,0.0786,21075.3471,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21094.4815,NA,16.79460000000000,16.66370000000000,0.35550000000000,0.76760000000000,32.6136,21078.2503,16.5867,16.2312,0.3555,16.3704,0.6284,0.6243,0.0041,-0.2880,21078.2503,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21108.9149,NA,16.85390000000000,16.66370000000000,0.00000000000000,0.30000000000000,18.1802,21092.0610,16.8539,16.8539,0.0000,0.2146,16.9393,0.7774,16.1619,0.0502,21092.0610,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21111.0500,NA,16.56850000000000,16.65280000000000,0.34000000000000,0.85780000000000,32.6979,21094.8370,16.5530,16.2130,0.3400,16.3454,0.7254,0.7160,0.0094,-0.0661,21094.8370,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21125.7088,NA,16.79390000000000,16.65280000000000,0.00000000000000,0.23720000000000,18.0391,21108.9149,16.7939,16.7939,0.0000,0.3000,16.7311,0.7052,16.0259,0.2011,21108.9149,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21127.7414,NA,16.69140000000000,16.66900000000000,0.38150000000000,0.78490000000000,32.6755,21111.3900,16.7329,16.3514,0.3815,16.4954,0.6409,0.6369,0.0040,-0.1160,21111.3900,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21142.1623,NA,16.45350000000000,16.66900000000000,0.00000000000000,0.23640000000000,18.2546,21125.7088,16.4535,16.4535,0.0000,0.2372,16.4527,0.6766,15.7761,0.1249,21125.7088,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21144.4485,NA,16.70710000000000,16.68320000000000,0.45710000000000,0.78470000000000,32.6516,21128.1229,16.7827,16.3256,0.4571,16.4740,0.6363,0.6298,0.0065,0.0497,21128.1229,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,21158.8243,NA,16.66200000000000,16.68320000000000,0.00000000000000,0.28900000000000,18.2758,21142.1623,16.6620,16.6620,0.0000,0.2364,16.7146,0.6948,16.0198,-0.2297,21142.1623,NA,NA,NA
brave.exe,29928,0x1FE7545DD80,DXGI,0,0,0,Composed: Flip,21161.0839,NA,16.63540000000000,16.66300000000000,0.42100000000000,0.74550000000000,32.6792,21144.9056,16.5993,16.1783,0.4210,16.2971,0.6267,0.6223,0.0044,0.1197,21144.9056,NA,NA,NA
